ticker,status,last_close,sma50,sma200,avgvol50,last_vol,relvol_proxy,reasons,n_days
AIBD,fail,8.894000053405762,8.195540027618408,8.646510014533996,61416.66,6833.0,0.11125645712417444,"avgvol50<min,relvol<min",
CURE,fail,108.23999786376953,114.08160049438476,93.34235027313233,55634.94,17147.0,0.3082055988556831,"avgvol50<min,relvol<min,below_sma50",
SICK,insufficient_history,,,,,,,,0.0
LABU,fail,162.52999877929688,168.7671990966797,110.95694974899293,601832.78,196539.0,0.3265674561628232,"relvol<min,below_sma50",
LABD,fail,18.61210060119629,18.97164207458496,42.50936062812805,2701185.54,571077.0,0.21141716907014096,"relvol<min,below_sma50,below_sma200",
PILL,fail,11.856599807739258,12.439531993865966,8.817083003520965,131776.42,21321.0,0.16179677669191497,"avgvol50<min,relvol<min,below_sma50",
WANT,fail,45.54999923706055,50.01759986877441,47.627059841156004,20687.24,3362.0,0.16251563765876936,"avgvol50<min,relvol<min,below_sma50,below_sma200",
PASS,insufficient_history,,,,,,,,0.0
DUSL,fail,93.04560089111328,84.0439517211914,73.89869823455811,25012.44,4622.0,0.18478804946658545,"avgvol50<min,relvol<min",
DFEN,fail,89.74500274658203,81.18710014343262,64.07887496948243,358067.5,95475.0,0.2666396698946428,"avgvol50<min,relvol<min",
TPOR,fail,36.869998931884766,34.777540092468264,28.725489959716796,22880.22,12011.0,0.5249512460981581,"avgvol50<min,relvol<min",
LMTL,insufficient_history,,,,,,,,146.0
BOEU,fail,40.16999816894531,44.10882011413574,41.27530014038086,44185.26,1363.0,0.030847391188826317,"avgvol50<min,relvol<min,below_sma50,below_sma200",
ERY,fail,12.270000457763672,15.858199977874756,20.050899996757508,602881.14,273557.0,0.4537494737354033,"relvol<min,below_sma50,below_sma200",
DRIP,fail,5.179999828338623,7.520999975204468,8.783099994659423,11141892.8,4480540.0,0.4021345457568933,"relvol<min,below_sma50,below_sma200",
SCO,fail,11.760000228881836,16.70180004119873,17.64145004272461,2543256.26,2782013.0,1.0938783652104331,"below_sma50,below_sma200",
KOLD,fail,21.979999542236328,27.633399963378906,29.72475004196167,11160541.48,835774.0,0.07488650989718824,"relvol<min,below_sma50,below_sma200",
EVAV,insufficient_history,,,,,,,,166.0
KLNE,insufficient_history,,,,,,,,0.0
NUGT,fail,243.11000061035156,242.60199981689453,147.33509992599488,781749.2,316560.0,0.40493805430181445,relvol<min,
DUST,fail,43.939998626708984,6.114000000953674,14.153600028753281,76880689.68,247584.0,0.003220366531966834,relvol<min,
UGL,fail,74.03009796142578,68.70580207824707,49.06477552413941,6663102.58,1030629.0,0.15467704235764596,relvol<min,
GLL,fail,17.499900817871094,20.453198013305663,32.8642494392395,9584223.56,1447778.0,0.15105845465065507,"relvol<min,below_sma50,below_sma200",
TMF,fail,39.34000015258789,38.53019989013672,38.869750061035155,5780547.2,1354260.0,0.2342788585827999,relvol<min,
TMV,fail,35.09000015258789,35.95279998779297,36.66285002708435,1023023.5,399275.0,0.3902891771303396,"relvol<min,below_sma50,below_sma200",
NVDU,fail,107.80000305175781,115.51810028076171,114.44817523956299,472712.76,93438.0,0.1976633759579496,"avgvol50<min,relvol<min,below_sma50,below_sma200",
NVDD,fail,38.88999938964844,38.376519927978514,41.842074928283694,264660.06,26003.0,0.09825056338308093,"avgvol50<min,relvol<min,below_sma200",
NVDL,fail,80.60160064697266,86.33023208618164,82.64265790939331,10142061.66,2038883.0,0.20103240034925995,"relvol<min,below_sma50,below_sma200",
BITX,fail,17.100000381469727,23.073800086975098,44.334275016784666,12516100.2,3994210.0,0.3191257609139307,"relvol<min,below_sma50,below_sma200",
BITI,fail,25.174999237060547,24.892499961853026,20.88132501602173,2656067.38,551769.0,0.2077390822818659,relvol<min,
