ticker,name,market,asset_type,sector,industry,source
195940.KQ,HK이노엔,,STOCK,Healthcare,Pharmaceuticals,existing
196170.KQ,알테오젠,,STOCK,Healthcare,Biotech,existing
199820.KQ,제일일렉트릭,,STOCK,Other,Other / Needs review,existing
200130.KQ,콜마비앤에이치,,STOCK,Other,Other / Needs review,existing
200710.KQ,에이디테크놀로지,,STOCK,Information Technology,Semiconductor design services,existing
204270.KQ,제이앤티씨,,STOCK,Other,Other / Needs review,existing
204320.KS,HL만도,,STOCK,Consumer Discretionary,Auto parts,existing
205470.KQ,휴마시스,,STOCK,Healthcare,Diagnostics,existing
207940.KS,삼성바이오로직스,,STOCK,Healthcare,Biotech / Healthcare,existing
211270.KQ,AP위성,,STOCK,Industrials,Satellite / Aerospace,existing
214150.KQ,클래시스,,STOCK,Healthcare,Medical aesthetics equipment,existing
214370.KQ,케어젠,,STOCK,Healthcare,Biotech / Cosmetics materials,existing
215000.KQ,골프존,,STOCK,Other,Other / Needs review,existing
215200.KQ,메가스터디교육,,STOCK,Utilities,Gas / Utilities,existing
218410.KQ,RFHIC,,STOCK,Information Technology,Telecom equipment / RF components,existing
225190.KQ,LK삼양,,STOCK,Consumer Discretionary,Optics / Camera components,existing
225190.KS,LK삼양,,STOCK,Consumer Discretionary,Optics / Camera components,existing
226950.KQ,올릭스,,STOCK,Healthcare,Biotech,existing
229200.KS,KODEX 코스닥150,,ETF,ETF,KODEX 코스닥150,existing
229640.KS,LS에코에너지,,STOCK,Energy,Energy,existing
233160.KS,TIGER 코스닥150 레버리지,,ETF,ETF,TIGER 코스닥150 레버리지,existing
233740.KS,KODEX 코스닥150레버리지,,ETF,ETF,KODEX 코스닥150레버리지,existing
235980.KQ,메드팩토,,STOCK,Other,Other / Needs review,existing
237690.KQ,에스티팜,,STOCK,Healthcare,Pharmaceuticals / CDMO,existing
241560.KQ,두산밥캣,,STOCK,Industrials,Construction equipment,existing
241560.KS,두산밥캣,,STOCK,Industrials,Construction equipment,existing
247540.KQ,에코프로비엠,,STOCK,Materials,Battery materials / Cathode,existing
251270.KQ,넷마블,,STOCK,Other,Other / Needs review,existing
253450.KQ,스튜디오드래곤,,STOCK,Other,Other / Needs review,existing
259960.KS,크래프톤,,STOCK,Other,Other / Needs review,existing
263720.KQ,디앤씨미디어,,STOCK,Communication Services,Media,existing
263750.KQ,펄어비스,,STOCK,Communication Services,Gaming,existing
266420.KS,KODEX 헬스케어,,ETF,ETF,KODEX 헬스케어,existing
267250.KS,HD현대,,STOCK,Holding Company,Holding company,existing
267260.KS,HD현대일렉트릭,,STOCK,Industrials,Electrical equipment / Power equipment,existing
267320.KQ,나인테크,,STOCK,Information Technology,Technology,existing
270660.KQ,에브리봇,,STOCK,Other,Other / Needs review,existing
272210.KQ,한화시스템,,STOCK,Information Technology,IT Systems,existing
272210.KS,한화시스템,,STOCK,Information Technology,IT Systems,existing
272290.KQ,이녹스첨단소재,,STOCK,Materials,Materials,existing
