ticker,price,gap_pct,rsi14,sma10,sma40,sma50,sma200,px_vs_sma10,px_vs_sma40,px_vs_sma50,px_vs_sma200,sma10_slope,sma40_slope,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,daily_breakout,daily_retest,in_daily_box_middle,grade,score
ABNB,130.45,-0.72,50.39,126.84,128.47,128.13,128.04,2.84,1.54,1.81,1.88,DN,UP,True,134.83,115.53,3.36,140.24,False,False,True,C,9.0
ZD,43.33,-0.39,58.56,42.69,37.73,37.41,35.59,1.5,14.85,15.81,21.76,DN,UP,True,45.26,22.45,4.45,50.55,False,False,False,C,9.0
IYR,98.19,0.0,56.06,94.92,97.93,97.58,96.18,3.44,0.27,0.62,2.09,UP,DN,True,101.8,92.45,3.68,101.8,False,False,True,C,9.0
PAA,21.71,0.0,51.78,22.16,21.35,20.99,18.46,-2.05,1.68,3.43,17.58,UP,UP,True,22.79,15.69,4.97,22.79,False,False,False,C,9.0
FLNG,30.21,0.13,50.61,30.07,28.85,28.38,25.98,0.48,4.7,6.46,16.29,DN,UP,True,31.99,25.41,5.89,31.99,False,False,False,C,9.0
MGM,37.34,0.65,53.51,37.01,36.32,36.05,35.41,0.9,2.81,3.59,5.44,UP,UP,True,39.25,33.45,5.12,39.25,False,False,False,C,9.0
JNJ,239.17,-0.88,59.05,241.44,242.11,240.11,199.75,-0.94,-1.21,-0.39,19.73,UP,UP,True,251.71,232.24,5.24,251.71,False,False,False,C,8.0
IYM,183.88,0.0,69.85,175.88,178.38,177.8,156.14,4.55,3.08,3.42,17.76,UP,UP,True,189.81,162.46,3.22,189.81,False,False,False,C,7.0
IYW,193.1,0.0,55.33,183.38,188.81,190.45,191.27,5.3,2.27,1.39,0.95,UP,DN,False,205.69,186.09,6.52,205.69,False,False,True,C,7.0
BBH,190.04,0.0,60.14,186.12,190.32,191.79,179.43,2.11,-0.15,-0.91,5.92,UP,DN,False,202.91,180.0,6.77,202.91,False,False,True,C,6.0
IYH,62.81,0.0,60.26,61.41,63.53,63.85,61.35,2.27,-1.13,-1.62,2.38,UP,DN,False,66.86,59.97,6.45,66.98,False,False,True,C,6.0
BWXT,231.78,0.0,60.57,211.59,204.95,204.74,183.17,9.54,13.09,13.21,26.54,UP,UP,True,218.65,188.84,-5.66,233.17,False,True,False,C,6.0
GD,355.5,1.57,46.78,348.8,352.03,352.66,335.54,1.92,0.98,0.81,5.95,UP,DN,True,366.75,337.32,3.16,369.7,False,False,True,C,6.0
ET,19.43,1.83,59.91,19.23,18.85,18.73,17.53,1.07,3.05,3.74,10.82,DN,UP,True,19.3,18.24,-0.67,19.86,False,True,False,C,6.0
CME,298.52,-1.42,44.47,300.22,308.26,305.3,280.44,-0.57,-3.16,-2.22,6.45,UP,UP,True,329.16,262.19,10.26,329.16,False,False,True,C,5.0
CHD,92.9,-1.38,41.96,93.51,98.66,98.29,91.85,-0.65,-5.84,-5.49,1.14,DN,DN,True,106.04,81.57,14.14,106.04,False,False,True,C,5.0
AUR,4.2,-0.71,54.86,4.15,4.39,4.36,4.96,1.18,-4.42,-3.74,-15.25,DN,UP,False,4.97,3.75,18.33,5.08,False,False,False,C,5.0
